AFDX_OUTPUT_VL;port2;100;12;;B;BP;3952;VL_S_GADIRU_1_INSTRUM_1;A&B;16;192;1;1;10008;GADIRU_PORT_OUT_INSTRUM_8_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10008;10008;160
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10007;GADIRU_PORT_OUT_INSTRUM_7_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10007;10007;984
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4051;VL_S_GADIRU_1_INSTRUM_3;A&B;8;296;1;1;10005;GADIRU_PORT_OUT_INSTRUM_5_MES_IR;AFDX communication port;Sampling;;unicast;10.1.39.3;10.1.55.1;10005;10005;296
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4050;VL_S_GADIRU_1_IR;A&B;16;600;1;1;8864;GADIRS_PORT_OUT_MESSAGE_IR;AFDX communication port;Sampling;;multicast;10.1.39.3;224.224.15.210;8864;8864;600
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8870;GADIRS_PORT_OUT_MESSAGE_FWS_GPSPY;AFDX communication port;Sampling;;multicast;10.1.39.4;224.224.15.111;8870;8870;56
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4150;VL_S_GADIRU_1_GPSPY;A&B;64;500;1;1;9152;GADIRS_PORT_OUT_MESSAGE_GPSPY;AFDX communication port;Sampling;;multicast;10.1.39.4;224.224.16.54;9152;9152;500
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10003;GADIRU_PORT_OUT_INSTRUM_3_MES_GPS;AFDX communication port;Sampling;;unicast;10.1.39.4;10.1.55.1;10003;10003;984
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8870;GADIRS_PORT_OUT_MESSAGE_FWS_GPSPY;AFDX communication port;Sampling;;multicast;10.1.39.4;224.224.15.111;8870;8870;56
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4150;VL_S_GADIRU_1_GPSPY;A&B;64;500;1;1;9152;GADIRS_PORT_OUT_MESSAGE_GPSPY;AFDX communication port;Sampling;;multicast;10.1.39.4;224.224.16.54;9152;9152;500
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10003;GADIRU_PORT_OUT_INSTRUM_3_MES_GPS;AFDX communication port;Sampling;;unicast;10.1.39.4;10.1.55.1;10003;10003;984
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8873;GADIRS_PORT_OUT_MESSAGE_FWS_HYBRID;AFDX communication port;Sampling;;multicast;10.1.39.6;224.224.15.111;8873;8873;88
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4350;VL_S_GADIRU_1_HYBRID;A&B;8;720;1;1;9296;GADIRS_PORT_OUT_MESSAGE_HYBRID;AFDX communication port;Sampling;;multicast;10.1.39.6;224.224.16.254;9296;9296;720
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10009;GADIRU_PORT_OUT_INSTRUM_9_MES_HYBRID_MIL;AFDX communication port;Sampling;;unicast;10.1.39.6;10.1.55.1;10009;10009;984
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8873;GADIRS_PORT_OUT_MESSAGE_FWS_HYBRID;AFDX communication port;Sampling;;multicast;10.1.39.6;224.224.15.111;8873;8873;88
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4350;VL_S_GADIRU_1_HYBRID;A&B;8;720;1;1;9296;GADIRS_PORT_OUT_MESSAGE_HYBRID;AFDX communication port;Sampling;;multicast;10.1.39.6;224.224.16.254;9296;9296;720
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10009;GADIRU_PORT_OUT_INSTRUM_9_MES_HYBRID_MIL;AFDX communication port;Sampling;;unicast;10.1.39.6;10.1.55.1;10009;10009;984
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4500;VL_S_GADIRU_1_CIVHYB;A&B;16;500;1;1;9584;GADIRS_PORT_OUT_MESSAGE_CIVHYB;AFDX communication port;Sampling;;multicast;10.1.39.7;224.224.17.148;9584;9584;500
AFDX_OUTPUT_VL;port1;100;13;;A;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8867;GADIRS_PORT_OUT_MESSAGE_FWS_CIVHYB;AFDX communication port;Sampling;;multicast;10.1.39.7;224.224.15.111;8867;8867;88
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10010;GADIRU_PORT_OUT_INSTRUM_10_MES_HYBRID_CIV;AFDX communication port;Sampling;;unicast;10.1.39.7;10.1.55.1;10010;10010;984
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4501;VL_S_GADIRU_1_MMRGPS;A&B;128;500;1;1;9587;GADIRS_PORT_OUT_MESSAGE_MMRGPS;AFDX communication port;Sampling;;multicast;10.1.39.7;224.224.17.149;9587;9587;500
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4500;VL_S_GADIRU_1_CIVHYB;A&B;16;500;1;1;9584;GADIRS_PORT_OUT_MESSAGE_CIVHYB;AFDX communication port;Sampling;;multicast;10.1.39.7;224.224.17.148;9584;9584;500
AFDX_OUTPUT_VL;port2;100;12;;B;BP;3951;VL_S_GADIRU_1_FWS;A&B;8;232;1;1;8867;GADIRS_PORT_OUT_MESSAGE_FWS_CIVHYB;AFDX communication port;Sampling;;multicast;10.1.39.7;224.224.15.111;8867;8867;88
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10010;GADIRU_PORT_OUT_INSTRUM_10_MES_HYBRID_CIV;AFDX communication port;Sampling;;unicast;10.1.39.7;10.1.55.1;10010;10010;984
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4501;VL_S_GADIRU_1_MMRGPS;A&B;128;500;1;1;9587;GADIRS_PORT_OUT_MESSAGE_MMRGPS;AFDX communication port;Sampling;;multicast;10.1.39.7;224.224.17.149;9587;9587;500
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;161;GADIRS_PORT_OUT_MESSAGE_NBF;SAP;SAP;yes;unicast;10.1.39.1;;161;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;1001;GADIRS_PORT_OUT_DLCS_ARINC615A_FIND;SAP;SAP;yes;unicast;10.1.39.1;;1001;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;3;50200;GADIRS_AFDX_NORMAL_MODE;AFDX communication port;Queuing;yes;unicast;10.1.39.1;10.1.58.2;50200;50200;132
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50203;GADIRS_PORT_OUT_MESSAGE_SERVICE;AFDX communication port;Sampling;;unicast;10.1.39.1;10.1.58.4;50203;50203;152
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;3;50205;GADIRS_BITE_STATUS;AFDX communication port;Sampling;;unicast;10.1.39.1;10.1.58.2;50205;50205;20
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;3;50251;GADIRS_BITE_ANS_PRT;AFDX communication port;Queuing;yes;unicast;10.1.39.1;10.1.58.2;50251;50251;2252
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50300;GADIRS_PORT_OUT_FAL_TEST_MICBAC;SAP;SAP;yes;unicast;10.1.39.1;;50300;;312
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50450;GADIRS_PORT_OUT_DLCS_ARINC615A_1;SAP;SAP;yes;unicast;10.1.39.1;;50450;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50451;GADIRS_PORT_OUT_DLCS_ARINC615A_2;SAP;SAP;yes;unicast;10.1.39.1;;50451;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50452;GADIRS_PORT_OUT_DLCS_ARINC615A_3;SAP;SAP;yes;unicast;10.1.39.1;;50452;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50453;GADIRS_PORT_OUT_DLCS_ARINC615A_4;SAP;SAP;yes;unicast;10.1.39.1;;50453;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50454;GADIRS_PORT_OUT_DLCS_ARINC615A_5;SAP;SAP;yes;unicast;10.1.39.1;;50454;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50455;GADIRS_PORT_OUT_DLCS_ARINC615A_6;SAP;SAP;yes;unicast;10.1.39.1;;50455;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50456;GADIRS_PORT_OUT_DLCS_ARINC615A_7;SAP;SAP;yes;unicast;10.1.39.1;;50456;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50457;GADIRS_PORT_OUT_DLCS_ARINC615A_8;SAP;SAP;yes;unicast;10.1.39.1;;50457;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50458;GADIRS_PORT_OUT_DLCS_ARINC615A_9;SAP;SAP;yes;unicast;10.1.39.1;;50458;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50459;GADIRS_PORT_OUT_DLCS_ARINC615A_10;SAP;SAP;yes;unicast;10.1.39.1;;50459;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50460;GADIRS_PORT_OUT_DLCS_ARINC615A_11;SAP;SAP;yes;unicast;10.1.39.1;;50460;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50630;GADIRS_PORT_SYS_IDENT_DATA;AFDX communication port;Queuing;yes;unicast;10.1.39.1;10.1.58.1;50630;50630;4096
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4451;VL_GADIRU_1_TESTSCI_NMF;A&B;128;200;2;1;162;GADIRS_PORT_OUT_MESSAGE_TESTSCI_NMF;SAP;SAP;yes;unicast;10.1.39.1;;161;;8192
AFDX_OUTPUT_VL;port1;100;13;;A;BP;4151;VL_S_GADIRU_1_INSTRUM_2;A&B;32;984;1;1;10004;GADIRU_PORT_OUT_INSTRUM_4_MES_BITE;AFDX communication port;Sampling;;unicast;10.1.39.1;10.1.55.1;10004;10004;984
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;161;GADIRS_PORT_OUT_MESSAGE_NBF;SAP;SAP;yes;unicast;10.1.39.1;;161;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;1001;GADIRS_PORT_OUT_DLCS_ARINC615A_FIND;SAP;SAP;yes;unicast;10.1.39.1;;1001;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;3;50200;GADIRS_AFDX_NORMAL_MODE;AFDX communication port;Queuing;yes;unicast;10.1.39.1;10.1.58.2;50200;50200;132
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50203;GADIRS_PORT_OUT_MESSAGE_SERVICE;AFDX communication port;Sampling;;unicast;10.1.39.1;10.1.58.4;50203;50203;152
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;3;50205;GADIRS_BITE_STATUS;AFDX communication port;Sampling;;unicast;10.1.39.1;10.1.58.2;50205;50205;20
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;3;50251;GADIRS_BITE_ANS_PRT;AFDX communication port;Queuing;yes;unicast;10.1.39.1;10.1.58.2;50251;50251;2252
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50300;GADIRS_PORT_OUT_FAL_TEST_MICBAC;SAP;SAP;yes;unicast;10.1.39.1;;50300;;312
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50450;GADIRS_PORT_OUT_DLCS_ARINC615A_1;SAP;SAP;yes;unicast;10.1.39.1;;50450;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50451;GADIRS_PORT_OUT_DLCS_ARINC615A_2;SAP;SAP;yes;unicast;10.1.39.1;;50451;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50452;GADIRS_PORT_OUT_DLCS_ARINC615A_3;SAP;SAP;yes;unicast;10.1.39.1;;50452;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50453;GADIRS_PORT_OUT_DLCS_ARINC615A_4;SAP;SAP;yes;unicast;10.1.39.1;;50453;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50454;GADIRS_PORT_OUT_DLCS_ARINC615A_5;SAP;SAP;yes;unicast;10.1.39.1;;50454;;8192
AFDX_OUTPUT_VL;port2;100;12;;B;BP;4450;VL_GADIRU_1_SERVICE;A&B;32;152;3;1;50455;GADIRS_PORT_OUT_DLCS_ARINC615A_6;SAP;SAP;yes;unicast;10.1.39.1;;50455;;8192
